production_budget_usd,worldwide_gross_usd
45000000,302710615
44500000,227140757
44000000,3484523
44000000,12342632
44000000,22730924
44000000,48478084
44000000,165600852
44000000,300400000
44000000,353715317
43000000,45095823
43000000,63078756
43000000,49037621
43000000,62063972
43000000,80013623
43000000,229727774
42500000,76347393
42000000,182156
42000000,83833602
42000000,11756922
42000000,4408420
42000000,8514325
42000000,45688337
42000000,66787173
42000000,20844907
42000000,60437727
42000000,56331864
42000000,36197221
42000000,156167015
42000000,56438555
42000000,91678442
42000000,41267469
42000000,63781100
42000000,73239258
42000000,57850343
42000000,71000000
42000000,130788243
42000000,131052444
42000000,173044410
42000000,227793915
42000000,363728226
42000000,202812429
42000000,270340892
41000000,7684524
41000000,22108977
41000000,100622586
41000000,245768384
40000000,196090
40000000,1079040
40000000,27000381
40000000,79123
40000000,38899792
40000000,463730
40000000,119627047
40000000,20722450
40000000,7729552
40000000,915840
40000000,6341825
40000000,25863458
40000000,14938149
40000000,32030610
40000000,88069880
40000000,16172200
40000000,12624471
40000000,33175076
40000000,7974607
40000000,26736665
40000000,7000000
40000000,16173593
40000000,10070651
40000000,17033431
40000000,10717421
40000000,13644292
40000000,12345883
40000000,13208023
40000000,35195939
40000000,13508635
40000000,21215882
40000000,39753957
40000000,19756077
40000000,14358033
40000000,14375181
40000000,14448589
40000000,14942422
40000000,19417182
40000000,60862471
40000000,20790486
40000000,169590606
40000000,25268680
40000000,20278055
40000000,37750754
40000000,47085064
40000000,46176322
40000000,22365133
40000000,22433915
40000000,38172500
40000000,24172899
40000000,91126600
40000000,30576502
40000000,62226214
40000000,65754228
40000000,78269970
40000000,307353906
40000000,27053815
40000000,27682712
40000000,28544120
40000000,31670620
40000000,40435694
40000000,69807260
40000000,30199105
40000000,46666955
40000000,59795070
40000000,31835600
40000000,55247881
40000000,44383030
40000000,49686263
40000000,47787943
40000000,55696705
40000000,53864342
40000000,34416893
40000000,51867723
40000000,96398826
40000000,72295262
40000000,41294674
40000000,101162106
40000000,90717684
40000000,38087756
40000000,95989590
40000000,126069509
40000000,103429755
40000000,128884494
40000000,50071069
40000000,155011165
40000000,86778557
40000000,58250151
40000000,44948240
40000000,45916769
40000000,106548738
40000000,65282732
40000000,92256918
40000000,92111551
40000000,49851591
40000000,146300356
40000000,121032272
40000000,191200000
40000000,55249159
40000000,127234389
40000000,114830111
40000000,104407366
40000000,75389090
40000000,105945357
40000000,87949859
40000000,71743823
40000000,74156610
40000000,58501127
40000000,118097882
40000000,87145086
40000000,58855732
40000000,141484812
40000000,91455875
